Ticker,Sector,Industry,MarketCap,PE_Ratio,PB_Ratio,EPS,RevenueGrowth,DebtToEquity,CurrentPrice,ForwardPE,ProfitMargin,ROE,Name
CMI,Industrials,Specialty Industrial Machinery,93307174912.0,35.095165,7.5472207,19.23,0.027,57.478,674.88,21.037695,0.07886,0.21993999,Cummins Inc.
HPQ,Technology,Computer Hardware,19415371776.0,8.011363,-25.329342,2.64,0.069,,21.15,7.1115623,0.04462,,HP Inc.
AHCO,Healthcare,Medical Devices,1598636160.0,,1.0253054,-0.59,0.054,132.105,11.75,9.355095,-0.024230001,-0.048460003,AdaptHealth Corp.
SU,Energy,Oil & Gas Integrated,82933121024.0,19.564608,2.5185606,3.56,-0.039,32.951,69.65,13.297593,0.12100001,0.13204001,Suncor Energy Inc.
VOW3.DE,Consumer Cyclical,Auto Manufacturers,44555120640.0,6.687735,0.25606084,13.29,-0.025,137.093,88.88,3.56096,0.0212,0.03105,Volkswagen AG
CB,Financial Services,Insurance - Property & Casualty,125112033280.0,11.414367,1.6983358,28.26,0.102,31.458,322.57,11.027333,0.18527001,0.15433,Chubb Limited
AMPY,Energy,Oil & Gas E&P,258459360.0,6.07767,0.5557035,1.03,-0.181,0.818,6.26,7.1136365,0.16695,0.10135,Amplify Energy Corp.
PFG,Financial Services,Asset Management,21789169664.0,14.472024,1.8451042,6.97,-0.045,33.624,100.87,9.915395,0.10102,0.13385999,"Principal Financial Group, Inc."
VFC,Consumer Cyclical,Apparel Manufacturing,7167944192.0,32.14035,1.937804,0.57,0.015,299.18,18.32,17.43948,0.05546,0.22092,V.F. Corporation
AIFU,Financial Services,Insurance Brokers,153648736.0,,0.39139038,-32.93,-0.398,18.417,1.31,2.4259257,0.0,-1.4684501,AIFU Inc.
CFG,Financial Services,Banks - Regional,27216683008.0,15.251185,1.1395588,4.22,0.138,,64.36,10.067656,0.25048,0.07739,"Citizens Financial Group, Inc."
NAB.AX,Financial Services,Banks - Diversified,122545233920.0,20.015,1.9438643,2.0,,,40.03,16.094597,0.29665002,0.09908,National Australia Bank Limited
DG,Consumer Defensive,Discount Stores,25768681472.0,17.081753,3.027269,6.85,0.059,184.665,117.01,14.63765,0.0354,0.18992001,Dollar General Corporation
ADMA,Healthcare,Biotechnology,2381324032.0,17.083332,5.1071253,0.6,0.159,110.673,10.25,8.113478,0.288,0.35562,"ADMA Biologics, Inc."
FANG,Energy,Oil & Gas E&P,58000855040.0,208.26262,1.5870866,0.99,0.091,32.594,206.18,11.940294,0.01962,0.0047400002,"Diamondback Energy, Inc."
AIRT,Industrials,Conglomerates,57971608.0,,-49.53811,-2.45,-0.087,3589.469,21.45,,-0.02481,-0.48259,"Air T, Inc."
VICI,Real Estate,REIT - Diversified,30440574976.0,9.681507,1.0869733,2.92,0.035,61.853,28.27,9.615646,0.7683,0.11331,VICI Properties Inc.
WY,Real Estate,REIT - Specialty,17088710656.0,42.32143,1.8104042,0.56,-0.02,57.729,23.7,33.42548,0.057800002,0.04161,Weyerhaeuser Company
CNR,Energy,Thermal Coal,4485317632.0,,1.2248292,-2.98,0.818,12.667,88.38,13.0643015,-0.03679,-0.05841,"Core Natural Resources, Inc."
LQD,,,,32.854553,0.80324996,,,,108.65,,,,iShares iBoxx $ Investment Grade Corporate Bond ETF
AFCG,Financial Services,Asset Management,67057204.0,,0.38193512,-0.95,1.201,55.433,2.85,3.4200137,0.0,-0.109689996,Advanced Flower Capital Inc.
TYL,Technology,Software - Application,13823335424.0,45.279007,3.8176312,7.24,0.086,1.348,327.82,22.829136,0.13262,0.08930001,"Tyler Technologies, Inc."
MKTX,Financial Services,Capital Markets,5322508800.0,22.784637,4.7244167,6.64,0.035,24.601,151.29,16.611984,0.29143,0.19389,MarketAxess Holdings Inc.
ABCB,Financial Services,Banks - Regional,5828591104.0,13.613208,1.4230301,6.36,0.128,,86.58,12.116361,0.37077,0.109969996,Ameris Bancorp
CRM,Technology,Software - Application,152967872512.0,23.973078,2.937231,7.8,0.121,29.947,186.99,12.516266,0.17958,0.123959996,"Salesforce, Inc."
EQT,Energy,Oil & Gas E&P,36728070144.0,11.142315,1.5427866,5.27,0.499,20.816,58.72,12.560401,0.35074002,0.13402,EQT Corporation
AVY,Consumer Cyclical,Packaging & Containers,12389147648.0,18.239864,5.5535746,8.88,0.07,164.751,161.97,14.505526,0.0766,0.30857,Avery Dennison Corporation
J,Industrials,Engineering & Construction,16037349376.0,40.280235,4.662319,3.39,0.123,65.173,136.55,17.021133,0.03495,0.09726,Jacobs Solutions Inc.
TSLA,Consumer Cyclical,Auto Manufacturers,1462366109696.0,357.22015,17.781889,1.09,0.158,18.738,389.37,153.57582,0.03946,0.04901,"Tesla, Inc."
WM,Industrials,Waste Management,90149740544.0,32.4877,9.054572,6.91,0.035,228.408,224.49,24.281029,0.10994001,0.29936,"Waste Management, Inc."
FICO,Technology,Software - Application,24727767040.0,33.78549,-14.013275,31.56,0.387,,1066.27,19.670403,0.33675,,Fair Isaac Corporation
AIRE,Real Estate,Real Estate Services,15504131.0,,1.8815105,-5.0,-0.091,3.55,2.89,-1.6514286,0.0,-4.57194,reAlpha Tech Corp.
FERG.L,Industrials,Industrial Distribution,37749125120.0,25.08,8.445332,7.5,0.036,93.088,18810.0,20.430578,0.06296,,Ferguson Enterprises Inc.
KMB,Consumer Defensive,Household & Personal Products,32264601600.0,18.800774,17.963408,5.17,0.027,371.264,97.2,12.828651,0.12798999,1.11727,Kimberly-Clark Corporation
BLK,Financial Services,Asset Management,162963865600.0,26.387674,2.9103487,39.75,0.27,24.367,1048.91,17.292162,0.24396999,,"BlackRock, Inc."
REL.L,Industrials,Specialty Business Services,47683088384.0,23.976822,20.641077,1.12,0.012,304.059,2685.404,17.141933,0.21533,0.70512,RELX PLC
ECL,Basic Materials,Specialty Chemicals,72766480384.0,34.86468,7.436859,7.39,0.1,90.702,257.65,26.790653,0.12798999,0.22427,Ecolab Inc.
AROW,Financial Services,Banks - Regional,612642112.0,11.996764,1.4116527,3.09,0.294,,37.07,8.62093,0.30369,0.121079996,Arrow Financial Corporation
WYNN,Consumer Cyclical,Resorts & Casinos,11079057408.0,33.834393,-39.523808,3.14,0.015,,106.24,18.46862,0.04586,,"Wynn Resorts, Limited"
AESI,Energy,Oil & Gas Equipment & Services,2399946496.0,,1.9731033,-0.8,-0.108,53.271,19.22,52.4177,-0.09291001,-0.07999,Atlas Energy Solutions Inc.
VTI,,,,27.924139,2.558958,,,,356.99,,,,Vanguard Total Stock Market Index Fund ETF Shares
BAS.DE,Basic Materials,Chemicals,46745432064.0,33.0375,1.3543428,1.6,-0.03,66.724,52.86,17.65472,0.02937,0.044109996,BASF SE
ICE,Financial Services,Financial Data & Stock Exchanges,87812784128.0,22.635569,3.0449448,6.86,0.204,70.986,155.28,17.687542,0.37671003,0.13853,"Intercontinental Exchange, Inc."
AIMS,,,,21.881498,,,,,26.8749,,,,Acuitas Small Cap Active ETF
DUK,Utilities,Utilities - Regulated Electric,99257237504.0,19.597542,1.8558171,6.51,0.113,161.495,127.58,17.808487,0.15706,0.09661,Duke Energy Corporation
SBUX,Consumer Cyclical,Restaurants,119600119808.0,80.10687,-14.125724,1.31,0.088,,104.94,34.81579,0.03888,,Starbucks Corporation
A,Healthcare,Diagnostics & Research,33214248960.0,26.002213,4.8097067,4.52,0.07,51.39,117.53,17.855894,0.18259001,0.19945998,
HRL,Consumer Defensive,Packaged Foods,11517449216.0,23.516855,1.4506515,0.89,-0.029,4.244,20.93,13.320605,0.0403,0.061160002,Hormel Foods Corporation
TRP,Energy,Oil & Gas Midstream,69017059328.0,26.5,3.8289766,2.5,0.066,166.505,66.25,23.332588,0.22227,0.11328,TC Energy Corporation
TEL,Technology,Electronic Components,60404920320.0,21.137896,4.6801004,9.79,0.145,43.798,206.94,16.394026,0.15543,0.22719999,TE Connectivity plc
FOXA,Communication Services,Entertainment,26472396800.0,14.923261,2.4216833,4.17,0.02,67.389,62.23,12.063842,0.11407,0.16823,Fox Corporation
NXPI,Technology,Semiconductors,73809920000.0,27.922636,7.3510184,10.47,0.122,103.991,292.35,16.633354,0.21031,0.25812998,NXP Semiconductors N.V.
APA,Energy,Oil & Gas E&P,14659049472.0,10.395989,2.4029663,3.99,-0.28,68.685,41.48,10.292012,0.16510999,0.2532,APA Corporation
CVX,Energy,Oil & Gas Integrated,380849258496.0,33.560978,2.045988,5.74,0.035,24.323,192.64,16.06202,0.05928,,Chevron Corporation
LYB,Basic Materials,Specialty Chemicals,25098539008.0,,2.4841864,-2.12,-0.063,141.24,77.76,10.560942,-0.02686,-0.060089998,LyondellBasell Industries N.V.
HON,Industrials,Conglomerates,132471521280.0,33.4496,9.74775,6.25,0.024,257.387,209.06,18.217022,0.1089,0.24264,Honeywell International Inc.
COR,Healthcare,Medical Distribution,59506937856.0,36.766827,31.182465,8.32,0.055,472.584,305.9,15.613699,0.0049900003,1.33467,"Cencora, Inc."
KIM,Real Estate,REIT - Retail,15875135488.0,27.057472,1.5269849,0.87,0.04,78.788,23.54,27.4359,0.28537,0.058579996,Kimco Realty Corporation
PLTR,Technology,Software - Infrastructure,325818679296.0,154.44319,43.99806,0.88,0.847,2.477,135.91,67.55306,0.43673,0.32587,Palantir Technologies Inc.
STLD,Basic Materials,Steel,34244767744.0,25.451233,3.842457,9.33,0.191,45.994,237.46,13.836939,0.07216,0.15247,"Steel Dynamics, Inc."
VOD,Communication Services,Telecom Services,36279234560.0,,6.3109756,-1.92,0.073,95.225,15.74,17.411257,-0.11356,-0.06616,Vodafone Group Public Limited Company
NESN.SW,Consumer Defensive,Packaged Foods,202047881216.0,22.378918,6.1583695,3.51,-0.022,175.002,78.55,16.753975,0.1005,0.26534,Nestlé S.A.
ROG.SW,Healthcare,Drug Manufacturers - General,256427556864.0,20.106049,7.5862064,16.03,-0.004,87.637,322.3,14.823842,0.2033,0.37273997,Roche Holding AG
CZR,Consumer Cyclical,Resorts & Casinos,5723321856.0,,1.6781129,-2.36,0.027,722.658,28.1,31.78733,-0.041950002,-0.107159995,"Caesars Entertainment, Inc."
BAC,Financial Services,Banks - Diversified,376970903552.0,13.181141,1.3738878,4.03,0.081,,53.12,10.547091,0.28956,0.10644,Bank of America Corporation
ALGN,Healthcare,Medical Instruments & Supplies,12082550784.0,28.307049,2.9040365,5.96,0.062,2.01,168.71,13.637397,0.10496,0.10824,"Align Technology, Inc."
IT,Technology,Information Technology Services,10008638464.0,14.77174,33.10964,10.12,-0.015,5141.055,149.49,10.153909,0.1144,0.94878,"Gartner, Inc."
UPS,Industrials,Integrated Freight & Logistics,83327418368.0,15.868933,5.1310625,6.18,-0.016,181.508,98.07,12.374685,0.05943,0.33353,"United Parcel Service, Inc."
PNC,Financial Services,Banks - Regional,89399099392.0,12.870501,1.4004349,17.22,0.138,,221.63,10.569347,0.31312,0.12104,"The PNC Financial Services Group, Inc."
ANDE,Consumer Defensive,Food Distribution,2700098560.0,28.419355,2.13547,2.79,-0.188,75.377,79.29,13.869963,0.0086900005,0.082559995,"The Andersons, Inc."
NI,Utilities,Utilities - Regulated Gas,23060512768.0,24.71282,2.4397528,1.95,0.198,139.284,48.19,21.574455,0.13994001,0.0907,NiSource Inc.
ARBB,Technology,Information Technology Services,9655950.0,,0.2016663,-10.18,3.317,0.006,5.47,,-0.36169997,-0.31421,ARB IOT Group Limited
HIG,Financial Services,Insurance - Diversified,36774645760.0,9.440535,1.9924548,14.21,0.061,23.151,134.15,9.310341,0.14109,0.22735001,"The Hartford Insurance Group, Inc."
TMO,Healthcare,Diagnostics & Research,173458046976.0,25.646152,3.2880614,18.2,0.062,82.903,466.76,17.060377,0.15151,0.13523,Thermo Fisher Scientific Inc.
ADP,Technology,Software - Application,84184039424.0,19.645523,13.286228,10.72,0.07,69.259,210.6,17.3406,0.20118,0.71208,"Automatic Data Processing, Inc."
IEX,Industrials,Specialty Industrial Machinery,15969487872.0,31.964443,3.9964435,6.75,0.089,46.915,215.76,23.451792,0.14382,0.12748,IDEX Corporation
KHC,Consumer Defensive,Packaged Foods,26681608192.0,,0.64054114,-4.93,-0.034,52.1,22.54,10.533744,-0.23437999,-0.12837,The Kraft Heinz Company
ORLY,Consumer Cyclical,Auto Parts,79067807744.0,30.944626,-74.10297,3.07,0.102,,95.0,26.303913,0.14303,,"O'Reilly Automotive, Inc."
ALL,Financial Services,Insurance - Property & Casualty,56249044992.0,4.833223,1.9041934,45.21,0.03,23.719,218.51,8.3837,0.17813,0.45221,The Allstate Corporation
AEVA,Technology,Software - Infrastructure,960523264.0,,70.88372,-2.55,1.085,774.832,15.24,-10.009851,0.0,-2.5838501,"Aeva Technologies, Inc."
NWS,Communication Services,Entertainment,16084524032.0,38.155846,1.8633854,0.77,0.055,30.892,29.38,23.464203,0.13346,0.06329,News Corporation
GL,Financial Services,Insurance - Life,12091443200.0,10.674516,1.9730929,14.44,0.054,45.666,154.14,9.27626,0.19383,0.20455,Globe Life Inc.
ADPT,Healthcare,Diagnostics & Research,2201501952.0,,9.683766,-0.39,0.51,93.491,13.78,-51.30878,-0.21482,-0.27817,Adaptive Biotechnologies Corporation
PYPL,Financial Services,Credit Services,41825845248.0,8.722327,2.1115503,5.33,0.037,60.703,46.49,8.010269,0.15775,0.25732002,"PayPal Holdings, Inc."
AMGN,Healthcare,Drug Manufacturers - General,177978605568.0,22.935978,20.510921,14.37,0.058,623.754,329.59,14.027321,0.20955999,1.01318,Amgen Inc.
LUV,Industrials,Airlines,19409205248.0,26.473333,2.5652454,1.5,0.128,93.033,39.71,8.77412,0.02829,0.10062,Southwest Airlines Co.
KEY,Financial Services,Banks - Regional,23779100672.0,13.417178,1.359821,1.63,0.117,,21.87,10.182844,0.27028,0.09972,KeyCorp
AMBA,Technology,Semiconductor Equipment & Materials,3256141056.0,,5.413906,-1.78,0.201,2.259,74.36,68.45821,-0.19418,-0.13123,"Ambarella, Inc."
RIO,Basic Materials,Other Industrial Metals & Mining,163438280704.0,16.529606,2.6253233,6.08,0.146,35.432,100.5,11.29353,0.17291,0.16399999,Rio Tinto Group
AGRO,Consumer Defensive,Farm Products,2054952448.0,,1.2265289,-0.08,0.111,108.778,14.24,10.911459,-0.00585,-0.00422,Adecoagro S.A.
AACI,Financial Services,Shell Companies,,,-2481.25,,,,9.925,,0.0,,Armada Acquisition Corp. III
AIRI,Industrials,Aerospace & Defense,14630025.0,,0.761194,-0.31,-0.141,160.44,3.06,11.769231,-0.02723,-0.07643,Air Industries Group
HBAN,Financial Services,Banks - Regional,33265213440.0,12.623077,1.1217445,1.3,0.336,,16.41,8.629848,0.26597,0.083859995,Huntington Bancshares Incorporated
PEG,Utilities,Utilities - Regulated Electric,39797547008.0,17.639381,2.3381233,4.52,0.183,142.68,79.73,16.98291,0.17349,0.12757,Public Service Enterprise Group Incorporated
WMB,Energy,Oil & Gas Midstream,93094633472.0,33.385967,7.2828174,2.28,-0.026,199.855,76.12,29.44829,0.23637,0.19656,"The Williams Companies, Inc."
BIO,Healthcare,Medical Devices,6880942080.0,42.710964,1.006837,6.02,0.011,20.116,257.12,25.789654,0.06518,0.02495,"Bio-Rad Laboratories, Inc."
APTV,Consumer Cyclical,Auto Parts,13770340352.0,32.636906,1.2669548,1.68,0.054,102.331,54.83,8.190575,0.01767,0.040799998,Aptiv PLC
AKBA,Healthcare,Drug Manufacturers - Specialty & Generic,388962592.0,,11.788618,-0.02,0.239,609.574,1.45,-9.062501,-0.02263,,"Akebia Therapeutics, Inc."
DAL,Industrials,Airlines,46554619904.0,10.344525,2.272392,6.85,0.129,105.021,70.86,8.868241,0.068670005,0.2499,"Delta Air Lines, Inc."
ABUS,Healthcare,Biotechnology,866534592.0,,11.055277,-0.17,-0.332,5.469,4.4,-26.62097,-2.37883,-0.3852,Arbutus Biopharma Corporation
TSM,Technology,Semiconductors,2045568090112.0,34.000862,60.331753,11.6,0.351,17.131,394.41,20.444036,0.46505,0.3621,Taiwan Semiconductor Manufacturing Company Limited
BBY,Consumer Cyclical,Specialty Retail,12066512896.0,11.363095,4.0402117,5.04,-0.01,139.474,57.27,8.166054,0.02564,0.37041,"Best Buy Co., Inc."
TXN,Technology,Semiconductors,255736070144.0,48.116436,15.241091,5.84,0.186,83.741,281.0,30.544308,0.29108,0.32347,Texas Instruments Incorporated
ANIP,Healthcare,Drug Manufacturers - Specialty & Generic,1925349248.0,25.490963,3.2795968,3.32,0.296,116.193,84.63,7.9932594,0.08868,0.16163999,"ANI Pharmaceuticals, Inc."
DECK,Consumer Cyclical,Footwear & Accessories,13987749888.0,13.997159,5.374714,7.04,0.071,13.14,98.54,13.426933,0.19348,0.39688,Deckers Outdoor Corporation
CBA.AX,Financial Services,Banks - Diversified,297604579328.0,28.660225,3.8533819,6.21,0.066,,177.98,26.063602,0.36354,0.13644,Commonwealth Bank of Australia
ROP,Technology,Software - Application,35983093760.0,22.27108,1.9117883,16.01,0.113,55.606,356.56,14.923468,0.21123,0.09012,"Roper Technologies, Inc."
ACRV,Healthcare,Biotechnology,89026808.0,,0.5850914,-2.02,,2.408,2.08,-1.1182796,0.0,-0.53857,"Acrivon Therapeutics, Inc."
OHI,Real Estate,REIT - Healthcare Facilities,14380049408.0,22.280193,2.6306183,2.07,0.167,81.511,46.12,22.335005,0.51138,0.12630999,"Omega Healthcare Investors, Inc."
AIRJ,Industrials,Building Products & Equipment,210896016.0,,0.7035176,-0.15,,0.046,3.08,-11.0,0.0,-0.03477,AirJoule Technologies Corporation
NDAQ,Financial Services,Financial Data & Stock Exchanges,50333130752.0,26.80723,4.177031,3.32,0.137,79.058,89.0,20.113949,0.35283002,0.162,"Nasdaq, Inc."
SHW,Basic Materials,Specialty Chemicals,77063766016.0,30.044231,16.735044,10.4,0.068,329.521,312.46,23.535082,0.1086,0.60723,The Sherwin-Williams Company
WTW,Financial Services,Insurance Brokers,24506417152.0,15.245006,3.0930896,17.02,0.085,85.693,259.47,11.689081,0.16843,0.20611,Willis Towers Watson Public Limited Company
AZN,Healthcare,Drug Manufacturers - General,280973377536.0,27.33635,5.931211,6.63,0.125,71.815,181.24,20.798216,0.17188999,0.23482999,AstraZeneca PLC
STT,Financial Services,Asset Management,41149722624.0,15.1097555,1.7088082,9.84,-0.028,,148.68,10.7934265,0.21295,0.11261,State Street Corporation
AITX,Industrials,Rental & Leasing Services,6201105.0,Infinity,-0.10093897,0.0,0.148,,0.0215,,-2.05986,,Artificial Intelligence Technology Solutions Inc.
ARET,Energy,Oil & Gas E&P,1467.0,,-0.00032258063,-0.0,0.117,,0.0001,,0.0,-24.706589,"Arête Industries, Inc."
SBRA,Real Estate,REIT - Healthcare Facilities,5139634176.0,32.349205,1.8178573,0.63,0.217,95.857,20.38,27.053217,0.19148001,0.05684,"Sabra Health Care REIT, Inc."
MCK,Healthcare,Medical Distribution,98113675264.0,23.097174,-75.903534,34.68,0.114,,801.01,18.160831,0.01091,,McKesson Corporation
TTWO,Communication Services,Electronic Gaming & Multimedia,41314496512.0,,11.814138,-22.58,0.249,100.449,223.11,28.239807,-0.60449004,-0.86217004,"Take-Two Interactive Software, Inc."
AJG,Financial Services,Insurance Brokers,52878663680.0,33.354942,2.2241197,6.17,0.346,56.18,205.8,13.849708,0.11354,0.07007,Arthur J. Gallagher & Co.
GIB-A.TO,Technology,Information Technology Services,19122143232.0,11.920365,3.480465,7.66,0.033,44.158,91.31,9.402197,0.10262,0.16622,CGI Inc.
FDS,Financial Services,Financial Data & Stock Exchanges,7993718272.0,14.128783,3.776072,15.53,0.071,72.972,219.42,11.299592,0.24481001,0.28084,FactSet Research Systems Inc.
ACIO,,,,28.679562,,,,,45.38,,,,Aptus Collared Investment Opportunity ETF
CPRT,Industrials,Specialty Business Services,31933675520.0,20.849056,3.2621534,1.59,-0.036,0.98,33.15,19.732965,0.33758,0.17129,"Copart, Inc."
WN.TO,Consumer Defensive,Grocery Stores,37105143808.0,37.51527,8.353021,2.62,,155.266,98.29,18.35714,0.0177,0.18154,George Weston Limited
COL.AX,Consumer Defensive,Grocery Stores,29186506752.0,28.592106,7.482782,0.76,0.025,272.264,21.73,21.533827,0.0225,0.26520002,Coles Group Limited
FE,Utilities,Utilities - Regulated Electric,26538422272.0,24.934782,2.0972757,1.84,0.116,198.922,45.88,15.568904,0.06944,0.094610006,FirstEnergy Corp.
TECH,Healthcare,Biotechnology,8867772416.0,106.943405,4.393458,0.53,-0.004,17.449,56.68,26.219015,0.06672,0.03966,Bio-Techne Corporation
ACN,Technology,Information Technology Services,110169038848.0,14.6609335,3.5264566,12.21,0.083,25.469,179.01,12.008766,0.10606,0.24763,Accenture plc
IVZ,Financial Services,Asset Management,11893738496.0,,1.2255058,-1.47,0.141,14.829,26.83,9.042408,-0.03692,-0.01535,Invesco Ltd.
SJM,Consumer Defensive,Packaged Foods,10311826432.0,,1.9702897,-11.79,0.07,143.204,96.69,9.710318,-0.14068,-0.20683001,The J. M. Smucker Company
CPT,Real Estate,REIT - Residential,10377757696.0,29.254192,2.553456,3.58,-0.005,104.147,104.73,82.21791,0.24486999,0.09064999,Camden Property Trust
